,Coinpair,Close,Volume,50DSMA,200DSMA,MarketPhase
2022-11-24,SUPERBUSD,0.0957,1669334399999.0,0.11764,0.145908,bearish
2022-11-24,SUSHIBUSD,1.211,1669334399999.0,1.41378,1.316285,distribution
2022-11-24,SXPBUSD,0.2362,1669334399999.0,0.295202,0.38662599999999997,bearish
2022-11-24,SYSBUSD,0.1179,1669334399999.0,0.13753,0.163058,bearish
2022-11-24,TBUSD,0.0183,1669334399999.0,0.024012000000000002,0.034763999999999996,bearish
2022-11-24,TFUELBUSD,0.0464,1669334399999.0,0.05041,0.056351500000000006,bearish
2022-11-24,THETABUSD,0.884,1669334399999.0,1.02582,1.194115,bearish
2022-11-24,TKOBUSD,0.238,1669334399999.0,0.22836,0.28358,recovery
2022-11-24,TLMBUSD,0.01533,1669334399999.0,0.0194586,0.026033249999999997,bearish
2022-11-24,TOMOBUSD,0.3117,1669334399999.0,0.382654,0.49377299999999996,bearish
2022-11-24,TORNBUSD,5.48,1669334399999.0,5.5464,15.75135,bearish
2022-11-24,TRBBUSD,11.37,1669334399999.0,13.923599999999999,17.47345,bearish
2022-11-24,TRIBEBUSD,0.2031,1669334399999.0,0.222272,0.2071205,distribution
2022-11-24,TROYBUSD,0.002721,1669334399999.0,0.003289,0.0038160100000000003,bearish
2022-11-24,TRXBUSD,0.05213,1669334399999.0,0.059039799999999996,0.0656362,bearish
2022-11-24,TVKBUSD,0.0297,1669334399999.0,0.033243999999999996,0.040303000000000005,bearish
2022-11-24,TWTBUSD,2.1568,1669334399999.0,1.344332,0.9777925000000001,bullish
2022-11-24,UFTBUSD,0.3073,1669334399999.0,0.29838800000000004,0.24369949999999999,bullish
2022-11-24,UMABUSD,1.665,1669334399999.0,2.03926,2.612955,bearish
2022-11-24,UNFIBUSD,4.506,1669334399999.0,5.268860000000001,6.0581700000000005,bearish
2022-11-24,UNIBUSD,5.49,1669334399999.0,6.298599999999999,6.22385,distribution
2022-11-24,UTKBUSD,0.0924,1669334399999.0,0.11707200000000001,0.127286,bearish
2022-11-24,VETBUSD,0.01903,1669334399999.0,0.022091,0.025372750000000003,bearish
2022-11-24,VOXELBUSD,0.1919,1669334399999.0,0.21647399999999997,0.352333,bearish
2022-11-24,WAVESBUSD,2.239,1669334399999.0,3.02586,4.90171,bearish
2022-11-24,WAXPBUSD,0.0623,1669334399999.0,0.07364599999999999,0.09652200000000001,bearish
2022-11-24,WINBUSD,9.11e-05,1669334399999.0,0.00010085199999999999,0.00011959400000000001,bearish
2022-11-24,WINGBUSD,6.25,1669334399999.0,7.465599999999999,8.03965,bearish
2022-11-24,WOOBUSD,0.117,1669334399999.0,0.150816,0.16901,bearish
2022-11-24,WRXBUSD,0.1589,1669334399999.0,0.185336,0.216587,bearish
2022-11-24,XECBUSD,2.937e-05,1669334399999.0,3.5182e-05,4.100065e-05,bearish
2022-11-24,XLMBUSD,0.0889,1669334399999.0,0.105694,0.1149675,bearish
2022-11-24,XMRBUSD,134.4,1669334399999.0,141.19,148.624,bearish
2022-11-24,XNOBUSD,1.053,1669334399999.0,0.71824,0.888375,accumulation
2022-11-24,XRPBUSD,0.3788,1669334399999.0,0.44148000000000004,0.39112450000000004,distribution
2022-11-24,XTZBUSD,1.004,1669334399999.0,1.26142,1.5577750000000001,bearish
2022-11-24,XVGBUSD,0.00262,1669334399999.0,0.0029002,0.00350905,bearish
2022-11-24,XVSBUSD,4.0,1669334399999.0,4.5446,4.9699,bearish
2022-11-24,YFIBUSD,6219.0,1669334399999.0,7324.68,8042.9977,bearish
2022-11-24,YGGBUSD,0.2237,1669334399999.0,0.28345000000000004,0.5186045,bearish
2022-11-24,ZECBUSD,43.0,1669334399999.0,48.174,64.2925,bearish
2022-11-24,ZENBUSD,9.46,1669334399999.0,12.0798,15.742349999999998,bearish
2022-11-24,ZILBUSD,0.02325,1669334399999.0,0.0277362,0.037808549999999996,bearish
2022-11-24,ZRXBUSD,0.2058,1669334399999.0,0.231264,0.30385850000000003,bearish
